title,published_date,content,url,crisis_annotation
Is Amazon done disrupting retail?,"Published Dec. 5, 2022","Amazon has spent the better part of a quarter century forcing retailers of all stripes to innovate, speed up and compete. The company premised its great disruption on its laser focus on the customer — easing the process of shopping and paying, winnowing delivery times to a couple days or less, and slashing prices.But the e-commerce giant’s effect on the sector appears to be waning to some extent. Rivals like Walmart and Target have done a lot of catching up, boosting their e-commerce and leveraging their many stores. Independent retailers, including the bookstores that first encountered Amazon as a new competitor, have survived. While Amazon still dominates online sales in the U.S.,with some 40% shareaccording to eMarketer, brick-and-mortar stores still drive85% of all retail sales, according to the U.S. Department of Commerce. E-commerce also remains an expensive way to sell products,including at Amazon, which last month warned that profits could vanish in the holiday quarter.In fact, after surging during the height of the pandemic, Amazon’s retail sales floundered all year, and it appears to be scrutinizing its operations. Under new CEO Andy Jassy this year, the companyshuttered mostof its non-grocery physical stores. The company alsocanceled or postponed dozens of warehousesplanned in an expensive expansion of its fulfillment capacity.More recently, Jassy is overseeingmassive layoffsandhiring freezes, much of them in retail. He is said to bereviewing underperforming businessventures like voice assistant Alexa, which reportedly hasfailed to producethe expected volume of orders from users. Founder Jeff Bezos, who until he stepped down last year as chief executive annually penned a letter promising investors that it remained “day one,” might see this new era as “day two.""Amazon now joins other retailers in grappling with how to adjust to the continual evolution in retail. Its tech strength and focus on speed and efficiency are no longer enough to win in this business, according to Doug Stephens, author of “Resurrecting Retail: The Future of Business in a Post-Pandemic World.”“Not only has the retail world closed the gap with Amazon, but the very nature of e-commerce has also fundamentally changed,” Stephens said by email. “Increasingly, retail is not something that resides on static, boring, search-driven websites (like Amazon.com). It now lives inside interesting, entertaining and engaging content and communities of interest. All things Amazon has never been very good at developing.”The customerAmazon has made itself indispensable to legions of consumers, chief among them those paying $140 for its Prime membership. Members get their orders delivered as quickly as one day in some places and enjoy perks like streaming entertainment. But there are some cracks in that formidable base.“Not only has the retail world closed the gap with Amazon, but the very nature of e-commerce has also fundamentally changed.""Doug StephensFounder, Retail ProphetPrime membership looks to be plateauing in the U.S., where penetration has stalled at 77% in the last two years, according to June research from Evercore analysts. The company may have to look abroad to grow Prime, they said.More concerning to analysts are emerging signs of discontent. Amazon remains the most commonly used retail site, with 94% of survey respondents saying they use it, the highest level in eight years, according to Evercore. But those analysts also found satisfaction sliding of late, with 79% of Amazon customers “extremely” or “very satisfied.” That’s a recovery from lower levels during the height of the pandemic, but it’s well below 2013’s 88%, according to the report.Consultancy Brooks Bell uncovered some of the issues. Nearly a third of those surveyed by the firm earlier this year said they got their order late orreceived a low-quality productfrom Amazon at least monthly. Meanwhile 44% said the item they wanted wasn’t in stock at the “everything store,” and 36% said they couldn’t find what they were looking for quickly. And many consumers see better alternatives: Nearly half said they’d rather support small businesses than shop at Amazon, while 36% go elsewhere for product expertise, per Brooks Bell’s report.Evercore attributes the rising level of disappointment to “Amazon’s aggressive expansion of its third-party marketplace to lower-quality international sellers and its increasing rollout of advertising inventory in its product search results” as well as delivery delays.Amazon declined to make anyone available to be interviewed for this story. But in an email the company said it continues to “invest and prioritize creating the best retail experience for customers,” pointing to its October Prime Early Access Sale, which many referred to as asecond Prime Day event. That sale raked in an estimated $8 billion in gross merchandise volume, 25% less than itsJuly Prime Dayandbelow expectations. Amazon also said it just hosted “the biggest holiday shopping weekend ever” over Black Friday and Cyber Monday, although ithasn’t shared specifics.The competitionMost retailers have had to respond to the fierce competition from Amazon over the years, and their efforts have borne fruit.Walmart has borrowed many of Amazon’s ideas, devising a Walmart+ membership with speedy delivery and other benefits, nurturing a third-party marketplace and growing an advertising business, for example.“It took them a long time, but Walmart is now basically copying Amazon's playbook,” Rick Watson, founder and CEO of RMW Commerce Consulting, said by phone. “The only thing that they haven't copied is AWS, which they can't really do. But advertising, fulfillment, marketplace, that's straight out of Amazon’s playbook. They're not really doing anything unique. Their answer is just to wait and see what works at Amazon and copy it. And, look, it seems to be working for them, and they're more profitable right now.”AWS is Amazon’s cloud services unit, a booming tech business that boasts several government and corporate entitiesas clientsand has been consistently more profitable than its retail sales.“It took them a long time, but Walmart is now basically copying Amazon's playbook.""Rick WatsonFounder and CEO, RMW Commerce ConsultingRetailers have responded to the demand for swifter delivery and easy online shopping, as when Target boughthome delivery service Shiptin 2017 to foster omnichannel services anddeveloped its app. But they have also embraced their traditional strengths. Walmart, Target and other chains have leveraged their stores for fulfillment and pickup services, a lesser advantage for Amazon, whose fleet is mostly Whole Foods grocery stores.“Target found its own path,” Watson said. “Everything runs through their stores. I've always been super impressed by what they've done, trying not to copy Amazon.”The physical store itself is a differentiator, and Target and others have made a point of spiffing up their stores, differentiating their merchandise and offering stellar in-person customer service. Independent booksellers — operating in Amazon’s debut retail segment — haveby and large survived, demonstrating that affinity for buying local can outshine Amazon’s convenience and price plays. Amazon in fact has throttled back on non-grocery physical stores,closing all bookstores and 4-star locationsearlier this year.“Clearly, most of these stores in categories such as bookstores lacked elements of innovation or driving in-store engagement or experience,” Euromonitor Senior Consultant Rabia Yasmeen said by email. “Even its grocery stores ... are focused on payment capabilities, cashier less or self-checkout – and still hold room for integrating its online operations with offline presence.”In an email, Amazon said that despite the closures it remains “committed to building great, long-term physical retail experiences and technologies.” The company has opened a couple ofapparel storesthis year, though The Guardian in Julysaid the Los Angeles location“misses the point of shopping.” Watson sees them as potentially effective testing grounds and showcases for their technology, including AI-driven suggestions and smart dressing rooms, but “terrible” venues for selling clothes.The strength from rivals doesn’t just come from the physical landscape, however. On Black Friday this year, Walmart, Target and Kohl’s all outpaced Amazon in online searches for deals, toppling the e-commerce giant from the top spot, though Amazon kept its number-one position on Cyber Monday, according to data from Capitfy.Is this retail?Several experts interviewed for this story pushed back on the idea that Amazon is anywhere close to finished disrupting retail.“Many people look at where Amazon is now and forget that each step they took over the last 20 years to win the customer’s business never made immediate impact to their bottom line,” Forrester Principal Analyst Brendan Witcher said by email. “Amazon has incrementally been building an ecosystem of connections into our lives that will help them better sell to us. Within that strategy is the disruption that is the most impactful because it is almost too hard to see or compete against until it is too late.”Indeed, unlike when itlaunched in 1994as a book e-retailer, most of Amazon’s growth and profit now derives from operations outside its sales of products. Those streams include advertising, third-party seller fees, subscriptions and its cloud business. Last year, the first time it disclosed its advertising revenue, Amazontook in $31.2 billionselling ads, which are featured in its streaming and gaming entertainment and its retail site. Moreover, nearly 60% of the goods sold on its site actuallycome from its third-party seller marketplace.“Amazon has incrementally been building an ecosystem of connections into our lives that will help them better sell to us. Within that strategy is the disruption that is the most impactful because it is almost too hard to see or compete against until it is too late.""Brendan WitcherForrester Principal AnalystStephens notes the company is also building operations in medicine, finance, insurance and education.“If they are successful, that would create an infinitely more lucrative structure than simply pursuing a larger and larger retail marketplace,” he said. “Even a small percentage share of the global healthcare market could rapidly eclipse the value and profitability of Amazon's retail enterprise.”According to Witcher, that proximity to the consumer remains a concern for the industry.“The real competitive advantage Amazon has over Walmart and Target isn’t in their retail capabilities (like how fast they can get us products),” he said. “It is in their ability to sell to us anywhere and anytime as we digitize our lives through our homes, cars, and our mobile interactions.”A host of retailers includingHudson’s Bay,Saks Fifth AvenueandMacy’shave followed Amazon and Walmart in creating marketplaces, while others, including Nordstrom, areboosting revenue with advertising. But how far from retail — the business of merchandising goods to sell to customers — are retailers willing to stray? And how willing are they to continue to compete with a rival able to forgo profits in its retail business?To other analysts, Amazon has only disrupted retail as far as retailers have allowed, which has led them to pursue money-losing endeavors, without the cushion of lucrative side businesses like cloud services or the patience of their investors. Nick Egelanian, president of retail development firm SiteWorks, compares e-commerce to another non-store retail segment, catalogs, which he said contributed 10.9% of retail sales in 1994, the year of Amazon’s founding.“Amazon never disrupted retail any more than Sears and Spiegel did with their catalogs,” he said by email. “But e-commerce is unprofitable under the current model. While Amazon was and is a retail disruption delusion, it did disrupt the mindset and priorities of those who analyze, operate and invest in retail — and continues to do so.”",https://www.retaildive.com/news/amazon-done-disrupting-retail/637430/,True
"As consumers return to stores, why would Amazon shut the door?","Published July 25, 2022","The pandemic supercharged e-commerce as even more consumers discovered its convenience. That led research firm FTI Consulting, for one, tomove up its timelineby three years, to this year, for online sales to handily top $1 trillion.The vast majority of shoppersstill favor stores, however. About three-quarters of consumers prefer them even for ordinary household items, according to consultancy Big Village. Yet in a year when retailers drasticallyeased up on store closuresand Amazon itself saw a3% decline in its Q1 online retailsales, the e-commerce giantclosed all of its bookstores, 4-star stores and pop-ups. The nearly 70 locations — 66 in the U.S., two in the U.K.— were almost the entirety of its non-food fleet. At press time all that remains in that category is a lone, newly opened Amazon Style apparel store.Amazon said by email it closed these stores so it could focus on its other physical retail and tech offerings, and preserve its ability to innovate and scale its business for the long run. But by doing so, it may have lost an opportunity to take full advantage of its own pricing and tech prowess, and could be forfeiting sales in some categories, according to Big Village General Manager David Albert. Bigger picture, the company is withdrawing from a major part of the retail landscape, according toKelly Goetsch, chief strategy officer at headless commerce platform Commercetools.“Even as e-commerce continues to boom, brick-and-mortar locations play a significant role in enabling customers to have an immersive, in-person shopping experience,”Goetschsaid by email. “I believe Amazon’s decision to close its physical locations failed to take this into account, and could possibly impact their business going forward as shoppers move back to physical retail post-pandemic.”Not a retailer?Then again, Amazon’s business is centered around logistics, technology and, increasingly, advertising, and not retail, some experts say. For years now, its third-party marketplace sellers have been responsible for the bulk of the merchandise sold on its site.“Their ability to fulfill the way they do is a pretty amazing feat. That's well understood,” Nick Egelanian, president of retaildevelopmentfirm SiteWorks, said by phone. “I don't think anybody would say they’ve run phenomenal stores. We know that they don't think those stores were so great, because they closed them.”Several observers including Egelanian have described Amazon’s non-grocery stores as unfocused. This was especially true of its 4-star stores, which were merchandised with items selling well on its website, leading to ajumbled assortment of random stuff. And — unlike the manyindependent booksellersthat have survived the price-based disruption unleashed by Amazon a quarter century ago — Amazon’s bookstores werenot curatedin ways that invited browsing or discovery, but instead mainly featured bestsellers.“Warehouse fulfillment is a lot easier than running a retail store because, in retail, you’ve got to be good at the logistics and technology — plus 10 other things,” Egelanian said. “They haven't proven they know how to merchandise, they haven't proven they know how to operate, they haven’t proven they know how to brand, they haven't proven they know how to assort. It’s a lot of ‘not provens.’”GlobalData Managing Director Neil Saunders in emailed comments noted a dearth of omnichannel options. “Other than some payment technologies, Amazon never really connected its stores and online in the way that many retailers have done,” he said. “Options to order online and pickup from stores, or check stock levels before heading out, were non-existent. This, in our view, was a lost opportunity.”Location choice has also been haphazard, suggesting a lack of understanding of site selection, Egelanian said. Amazon said that a lot goes into deciding where to open a store but declined to elaborate.""It’s not at all clear to me that Amazon has a competitive advantage operating in brick-and-mortar retail.”Kirthi KalyanamProfessor and Executive Director, Retail Management Institute at Santa Clara University’s Leavey School of Business“Every physical store has to have a store model,” Egelanian said. “There's a financial model, but it also needs a demographic model and a physical model — how big is the store? How far does it reach? What is the optimal type of real estate it goes into? What's the optimal number per market? What does it take to make money per market and per management structure? None of those things appeared to be present.”Kirthi Kalyanam, professor and executive director of the Retail Management Institute at Santa Clara University’s Leavey School of Business, agrees that Amazon’score capabilities don’t extend to running brick-and-mortar stores, and isn’t sure the e-commerce giant wants to develop them.”Everything they're good at seems to be very well suited for e-commerce — for running the marketplace, providing fulfillment and delivery for marketplace vendors, providing advertising for marketplace vendors,”Kalyanam said by phone.“It's not at all clear to me that Amazon has a competitive advantage operating in brick-and-mortar retail.”Amazon said by email that physical retail remains an important part of its business, citing one of the most common reasons that other retailers give for getting into e-commerce — to give customers more choices in when, where and how they shop — and that it will continue to open new stores. However, its experiment with brick and mortar is largely over, at least when it comes to most non-grocery goods, because the company sees little reason for it, according toRuss Dieringer, founderof e-commerce research firm Stratably.“They’re satisfied with a pure digital experience in general merchandise categories so long as they can deliver quickly and offer easy return locations,”Dieringersaid.Why stores?While it has nearly wiped out its non-food locations and exited the offline bookselling business, Amazon does run grocery stores and, as of a few months ago, an apparel store.Whole Foods, which the companyacquired in 2017, constitutes the bulk of Amazon’s grocery operations, with more than 500 locations, and it’sexpanding its value-priced Amazon Fresh chain. Aside from Whole Foods, and including locations opening this month, the company runs 85 grocery-oriented stores: 58 Amazon Fresh in the U.S. and U.K. and 27 Amazon Go convenience stores.Each banner, which Amazon said is run independently of the others, increasingly includes technology that collects payment via a mobile appas customers walk outof the store.Why is Amazon so ambitious when it comes to brick and mortar in this segment of retail?Its grocery stores benefit from the retailing talent established at Whole Foods years ago, Egelanian notes.Kalyanam believes that to some extent Amazon is stuck with what was an expensive acquisition.But its grocery, along with itsnew GrubHub partnership, also helps Amazon hone its walk-out payment tech, and delivery beyond its distribution center-based logistics,Kalyanam said. Those could eventually become lucrative in their own right, the way its logistics, advertising and, most dramatically, AWS cloud services have, he said.”They have the e-commerce part of home delivery extremely well nailed,” he said. “They still have to nail high-frequency home delivery — where I order something and get it within an hour. That's typically restaurant, food and all these delivery apps. And at the end of the day, home delivery of groceries is going to be a large delivery business.”What about apparel?In May, Amazon unveiled its firstapparel storeat The Americana at Brand mall in Los Angeles, and has plans for a second in Columbus,Ohio’s Easton Town Center mall. Most of the reasons to expand in grocery probably don’t apply to apparel sales, so it’s not entirely clear why Amazon would venture into brick and mortar in that category after giving up on stores dedicated to books and other merchandise.As with books, the company has grabbed significant share in apparel. Amazon is now the No. 1 seller of clothing in the U.S., exceeding $65 billion, almost double No. 2 Walmart and some 15% of the entire U.S. market, according to a June report from Wells Fargo analysts led by Ike Boruchow. Those analysts expect Amazon to surpass $73 billion in apparel sales this year.The store features technology that provides customers with suggestions based on their preferences, so perhaps that’s in focus. But running a specialty clothing store is even more complicated than other segments due to the vagaries of fashion, according to Egelanian.“Every fashion retailer has to have some kind of a statement,” he said. “What does the Amazon brand do? ‘Amazon Fresh, Amazon Style’? If the idea is to make money in brick-and-mortar retail, they haven’t shown the competency to do that yet. That doesn’t mean they can’t get good at it. But if it's like their other stores, it's going to confuse the customer.”Correction: A previous version of this story incorrectly referred to the Amazon Style store as having fit technology. The machine learning at the store has a recommendation engine based on details shared by customers, but doesn't provide assistance with fit beyond such details. This story has also been updated to clarify that, while Amazon has closed all of its stand-alone bookstores and 4-star stores, it sells some non-food items in its grocery and convenience stores.",https://www.retaildive.com/news/Why-amazon-shut-stores/626972/,True
Amazon continues to open suburban Go locations amid store struggles,"Published Feb. 13, 2023","Dive Brief:Amazon will expand its suburban Go c-store concept by opening a new location in Frederickson,  Washington, according to an emailed statement.The store will be Amazon’s second suburban Go location in Washington. The first — marking thedebut of Amazon’s suburban Go format— opened in Mill Creek, Washington last January.The retailer’s newest suburban Go store will be the fourth of its kind to openin a matter of months. Amazon debuted suburban Go stores in Whittier, Torrance and Woodland Hills, California, last September, November and December, respectively.Dive Insight:Amazon’s 31st Go store coincides with the retailerpausing the rolloutof its Fresh grocery stores as it figures out how to better differentiate and improve its economics, CEO Andy Jassy said during Amazon’s earnings call Feb. 2.It remains unknown how or if Amazon pausing the rollout of its Fresh stores will impact its Go convenience stores.Amazon’s CFO Brian Olsavsky said in the earnings call that the retailer recorded a $720 million impairment charge in the fourth quarter, with Amazon Go and Amazon Fresh accounting for the bulk of that amount. Olsavsky noted that Amazon decided to close some stores with low growth potential, but did not say how many will shut down.Amazon reporteda 6% rise in physical store sales during Q4, according to its earnings report.A spokesperson from Amazon declined to comment on exactly when the store in Frederickson will open, only noting that it is “coming soon.”Like the other suburban Amazon Go stores, the 2,500 square-foot location will offer a broader selection of grab-and-go food and drinks, including a wide range of beer, wine, spirits and everyday essentials. It also features Amazon Go’s made-to-order kitchen, which offers freshly prepared food, including breakfast items, hot and cold deli sandwiches, salads and wraps. It will also offer a variety of specialty beverages and on-tap coffee, kombucha and soda, as well as a Pinkberry fro-yo station.Amazon Go c-stores use the company’s Just Walk Out technology, which automatically detects when products are taken from or returned to shelves and keeps track of them in a virtual cart. When customers are done shopping, they can leave the store without checking out and receive a receipt while the purchase is charged to their Amazon account.Amazon currently operates 30 Amazon Go c-stores in the U.S. Besides its suburban stores in California and Washington, its urban locations are scattered throughout San Francisco, Seattle, Chicago and New York City.",https://www.retaildive.com/news/amazon-go-opens-31st-c-store/642607/,False
Amazon buys mechatronics firm to fold into robotics division,"Published Sept. 14, 2022","Dive Brief:Amazonsaid last weekit had agreed to buy a Belgium-based supplier for mechatronics equipment, Cloostermans, provided regulatory approval. Amazon did not disclose the terms or timeline for the deal.The two companies began working together in 2019. Since then, Amazon has usedCloostermanstechnology to move and stack heavy pallets and totes, or to help package products at its facilities.The retail giant intends to fold the former supplier and its 200 employees into Amazon Global Robotics. Amazon said in a blog post it intends to focus Cloostermans’ engineering work to “more rapidly deploy solutions” that support employees, improve safety and reduce packaging waste.Dive Insight:Retailers often invest in or purchase robotics equipment tobolster warehouse productivity. For Amazon, the playbook includes acquisitions.The retail giant built its robotics division, Amazon Robotics, off of an acquisition of Kiva Systems in 2012. Since then, the company has used the division toresearch,invest inand acquire fulfillment technology. As of 2022, the company has at least a dozen “types of robotics systems” deployed in its facilities worldwide,according to a blog post.Now, Cloostermans joins the likes of Kiva andCanvas Technologyas robotics companies folded into Amazon, though its technology offerings are broader in scope.As a made-to-order manufacturer, Cloostermans offers more than machinery to Amazon. It also brings manufacturing and assembly capacity, as well as expertise in mechanical and electrical engineering, according to the company’s website. The manufacturer is also a supplier to other companies, such as Procter & Gamble.In its blog post about the deal, Amazon emphasized Cloostermans’ ability to customize, design and manufacture technology. Over the past few years, Amazon has invested more in its technology design capabilities by startingresearch labs in the U.S. and Europeand inventing products like Proteus, afully autonomous mobile robot.“Expanding our design and manufacturing capabilities is just one of the many ways Amazon continues to invest in technologies within our operations,” Amazon said in its blog post.",https://www.retaildive.com/news/Amazon-buys-Cloostermans-mechatronics/631822/,False
Amazon offers sellers free software to speed fulfillment,"Published Sept. 20, 2022","Dive Brief:Amazonannounced Thursdayit would offer sellers free access to shipping software designed to speed fulfillment and lower delivery costs.Amazon sellers in the U.S. and U.K. will no longer need to pay the $450 delivery fee for Veeqo, which the e-commerce giant bought earlier this year. The software helps sellers find discounted shipping rates from major carriers such as UPS and FedEx, according to a news release.Sellers will also be able to manage orders across multiple sales channels, not just Amazon, the release said. U.S. merchants will also receive early access to new features Amazon plans on rolling out later this year.Dive Insight:Amazon unveiled a number of new services for sellers as the company works to expand its e-commerce reach.This month, the online retailer announcedfree email marketing capabilitiesto help merchants attract new customers. Amazon also rolled out “Buy with Prime” earlier this year, a program that allows sellers tooffer Prime benefitsincluding free, next-day delivery and free returns on their own online stores.The services present opportunities for sellers to bolster their businesses, streamline inventory management and speed deliveries. Amazon has grappled with falling e-commerce demand and hasslowed its network expansionin response.Both Veeqo and “Buy with Prime” also offer sellers a chance to grow sales off of Amazon as well. Veeqo allows sellers to ship through Etsy, eBay and Shopify. “Buy with Prime” will first be available to Amazon Marketplace sellers using the e-commerce giant’s fulfillment service before expanding to include other retailers.Amazon has weathered criticism that it has barred merchants from offering lower prices to other retailers through its contracting practices with wholesalers and third-party sellers. California’s attorney generalsued Amazonfor allegedly suppressing price competition across the market.CFO Brian Olsavsky noted in aprior earnings callthat third-party sellers constituted a record 57% of all products sold on Amazon in Q2.“Selling partners helped to expand the selection we can offer customers while fulfillment by Amazon provides sellers the ability to offer fast delivery,” he said.",https://www.retaildive.com/news/amazon-provides-software-for-improved-fulfillment/632158/,True
Amazon sued by California on allegations it blocks price competition,"Published Sept. 15, 2022","Dive Brief:California’s attorney generalsued Amazonalleging the company broke state competition laws. Specifically, the suit claims that Amazon keeps prices artificially high via practices barring wholesalers and third-party merchants from offering lower prices to other retailers.“Amazon makes consumers think they are getting the lowest prices possible, when in fact, they cannot get the low prices that would prevail in a freely competitive market because Amazon has coerced and induced its third-party sellers and wholesale suppliers to enter into anticompetitive agreements on price,” the complaint alleges.Ina statementposted online, Amazon responded by saying the lawsuit, were it to be successful, would harm consumers and its sellers.Dive Insight:Since Amazon opened its website to third-party sellerstwo decades ago, Marketplace sales have become a critical and lucrative revenue source in its e-commerce arm. And Amazon has become, by leaps and bounds, the largest and most important channel for third-party sellers online.The lawsuit filed by California Attorney General Rob Bonta alleges that Amazon has used this market power to control pricing not just on its own site but across the market through its contracting practices with merchants and wholesalers.“In these anticompetitive agreements, Amazon’s third-party sellers and wholesale suppliers agree not to offer, and to prevent Amazon’s competitors from offering, lower prices elsewhere — including Walmart.com, Target.com, eBay, their own websites, and other online stores — and incur steep penalties if these other online stores have lower prices,” the complaint states.It goes on to allege that “[c]ompeting sites do not offer lower prices the way they would in a competitive market, not because Amazon competed successfully, not because Amazon is a more efficient retailer and marketplace, but because Amazon forbids it by contract.”The pricing policy, according to the lawsuit, was explicit from 2012 to 2019 in Amazon’s “Pricing Parity Provision” in its agreement with Amazon Marketplace sellers. After the policy came under scrutiny in Congress, Amazon nixed the language.But California’s lawsuit alleges that Amazon still “strictly enforces a de facto retail price parity agreement by imposing escalating penalties on sellers that fail to comply with price parity, until they do comply.”Those penalties, according to the complaint, include disqualifying sellers from winning its “Buy Box” — coveted real estate on Amazon’s site that directs customers directly to purchase — as well as demoting their place in organic search and blocking them from creating new offers.California joins Washington, D.C. in launching a legal challenge against Amazon over its pricing practices with third parties. D.C. Attorney General Karl Raccinesued Amazonlast year over price fixing allegations, pointing to the same conduct. A judge dismissed the district’s lawsuit this year, which Raccine hasappealed.This year, Washington stateshut downthe company’s “Sold by Amazon"" seller program over alleged price fixing.The company has been undergrowing scrutinyover competitive practices for some years, including at the federal level. The House of Representatives in 2020 issued a scathing report on big tech companies that included accusations that Amazonabused its market powerof third-party sellers. One of the attorneys in that investigation nowheads the Federal Trade Commission, which reportedly has investigated numerous aspects of Amazon’s business.Amazon said of California’s lawsuit that the attorney general “fundamentally misunderstands the retail industry and misconstrues Amazon’s practices.” The company added that sellers set their prices and it “makes no effort to prevent them from offering lower prices elsewhere.”In its statement, Amazon did acknowledge that it does not “highlight” seller offerings on its website at prices that are “uncompetitive” compared to other retailers.",https://www.retaildive.com/news/amazon-sued-california-price-competition-allegations/631910/,True
Amazon Go opens third suburban store in Southern California,"Published Dec. 5, 2022","Dive Brief:Amazon opened a new Amazon Go suburban convenience store Thursday in Woodland Hills, California, about 25 miles west of downtown Los Angeles, according to an emailed announcement.This marks the third Amazon Go location toopen in Southern California. The other two are located in Whittier and Torrance, which opened in September and November, respectively.Amazon revealed its suburban Go store concept in January as a way to reach on-the-go shoppers located outside the downtown locations its other Amazon Go stores usually serve.Dive Insight:As it looks to reach more on-the-go consumers, Amazon is steadily expanding its roomier Go store format in Southern California. The company certainly likes the region: Woodland Hills iswhere it openedits first Amazon Fresh store, in 2020, and the e-tailer now operates several other locations under the grocery format in the Los Angeles area in addition to numerous Whole Foods stores.Amazon also operates two other suburban Go stores in Southern California, while its first store under the new format is located inMill Creek, Washington.Like those stores, the Woodland Hills Amazon Go location offers a broader selection of grab-and-go food and drinks, including a wide range of beer, wine, spirits and everyday essentials. It also features Amazon Go’s made-to-order kitchen, which offers freshly prepared food, including breakfast items, hot and cold deli sandwiches, salads and wraps for customers to choose from or customize. Customers can also get a variety of specialty beverages and on-tap coffee, kombucha and soda, as well as visit a Pinkberry fro-yo station.The store is open from 6 a.m. to 10 p.m. daily.In an effort to reduce its carbon footprint, Amazon’s three Southern California stores feature all-electric kitchens and water heating, as well as heat pumps for heating and cooling, instead of burning natural gas on site. The stores also have walk-in coolers and freezers in addition to LED lighting.Amazon Go c-stores use the company’s Just Walk Out technology, which automatically detects when products are taken from or returned to shelves and keeps track of them in a virtual cart. When customers are done shopping, they can leave the store without checking out and receive a receipt while the purchase is charged to their Amazon account.Amazon currently operates28 Amazon Goc-stores in the U.S. Besides its suburban stores in California and Washington, its urban locations are scattered throughout San Francisco, Seattle, Chicago and New York City.",https://www.retaildive.com/news/amazon-go-third-suburban-store-southern-california/637767/,False
Amazon begins charging for some returns made to The UPS Store,"Published April 12, 2023","Amazon has begun charging customers for some returns made to The UPS Store locations, the company confirmed to sister publication Supply Chain Dive.Customers may be charged when selecting The UPS Store for a return if a free option — Amazon Fresh, Whole Foods and Kohl's locations — is within the same distance or closer to their delivery address.The Informationfirst reported the charge Monday.""We always offer a free option for customers to return their item – if a customer would prefer to return their item at a UPS Store when there is a free option closer to their delivery address, a very small amount of customers may incur a $1 fee,"" spokesperson Steve Kelly said in a statement.The UPS Store has been a key component in Amazon's free returns offering to customers through the years. Amazonsaid last yearthat customers could return eligible items for free at more than 4,768 UPS Store locations.That figure far outnumbers Amazon's other free returns options. Kohl's had1,170 storesas of Jan. 28. Whole Foods has524 U.S. stores, while Amazon Fresh has44 locationstotal.Amazon also ran a program last year allowing customers to use The UPS Store as an option forseller-fulfilled returns. Customers could already make seller-fulfilled returns via the U.S. Postal Service, but Amazon told sellers that the added convenience would encourage shoppers to buy more.Amazon has been adjusting many of its established strategies as it adapts to a slowdown in demand. The company hasclosed or canceled plansfor dozens of warehouses andenacted layoffsin order to trim costs. Reducing the expense of returns on Amazon's operations could be another wrinkle in that cost-cutting process.""Handling returns is not cheap, and Amazon is learning that as it continues to cut costs across its organization,"" said Jay Kent, managing director of the supply chain consultancy SLB Performance,in a LinkedIn post.UPS, meanwhile, has been working with Amazon toreduce the shareof the e-commerce giant's packages it delivers. UPS did not respond to a request for comment on the new returns charge.",https://www.retaildive.com/news/amazon-begins-charging-certain-returns-the-ups-store/647402/,False
Amazon rolls out Rivian EVs in more cities for holiday deliveries,"Published Nov. 9, 2022","Amazon's Rivian-produced electric vans will deliver holiday packages in more than 100 U.S. cities this year, the company said Monday.The EV fleetbegan making deliveries this summerin more than a dozen cities, and it has since expanded to additional locations, according toa post on Amazon's website. New cities where customers will encounter the vans include Boston, Denver, Houston, Indianapolis, New York, Oakland and Pittsburgh.“We’re always excited for the holiday season, but making deliveries to customers across the country with our new zero-emission vehicles for the first time makes this year unique,” said Udit Madan, vice president of Amazon Transportation, in a statement.Amazon reported it has delivered more than 5 million packages to U.S. customers using the Rivian EVs since July. The company first announced its EV orderin 2019, after which Rivian encountered supply chain hurdles that challenged production levels.Amazon currently has more than 1,000 electric delivery vehicles in its fleet making U.S. deliveries, with the aim of having thousands on the road by the end of this year. By 2030, Amazon and Rivian want to grow the fleet to 100,000 vehicles.Decarbonizing its transportation fleet will aid Amazon's goal of net-zero carbon emissions across its operations by 2040. The company's operations in Europe are also advancing this effort, with plans tomore than doublethe size of its electric van delivery fleet on the continent by 2025.",https://www.retaildive.com/news/amazon-rolls-out-rivian-evs-electric-vehicles-new-cities-holiday-deliveries/636159/,False
Amazon expanding drone delivery service to Texas,"Published July 15, 2022","Amazon plans to begin making drone deliveries in Texas later this year, the company announced Friday.Customers in College Station, Texas, will be able to receive goods via Prime Air,according to a company blog post. The city's mayor, Karl Mooney, said in a statement that Amazon ""presents a tremendous opportunity for College Station to be at the forefront of the development of drone delivery technology.""College Station follows in the footsteps ofLockeford, California, as a city set to receive some of the earliest U.S. Prime Air drone deliveries. Once onboarded in the program, customers in the cities will see Prime Air-eligible items on Amazon, spokesperson Av Zammit said in an email.""Amazon is now reaching out to customers in both locations, offering them an option to receive free and fast drone delivery on thousands of everyday items–the largest selection of items to ever be available for drone delivery,"" Zammit said.The College Station City Council unanimously approved a zoning proposal early Friday to allow an Amazon Prime Air Drone Facility within city limits,The Bryan-College Station Eagle reported. The facility will include three buildings to house inventory and the drone services. The drones could make 25 to 200 trips a day, said Sean Cassidy, Amazon Prime Air director of safety and regulatory affairs, according to the report.Amazon, which has spent years developing its Prime Air program, is among other large companies likeWalmartand Alphabet subsidiaryWingmaking progress in the drone delivery space.",https://www.retaildive.com/news/amazon-drone-delivery-service-prime-air-college-station-texas/627401/,False
